question,answer
Qual atual forma o limite entre o Brasil e o Mar Argentino,a corrente da falkland.
As florestas interiores da Bahia fazem parte do bioma,Complexo de bioma de florestas atlânticas
Onde vem o gado de Pantaneiro no Brasil?,a região do Pantanal.
Quando o Brasil comprou o submarino da classe Scorpene?,2009.
Qual foi o propósito original da estrada amazônica?,agricultura
onde vivem as secoyas na floresta amazônica,Equador
Qual é o maior icterid?,Oopendola amazônio
Onde o vento e o fogo da terra se apresentaram no Brasil,Rio de Janeiro
onde é o cuco do solo escalado encontrado,floresta amazônica
quando foi a montanha de Sugarloaf nomeada no Brasil,Século XVI.
Quais são os feriados nacionais brasileiros que reconhece os povos indígenas,Dia indiano
onde está a época de Ilha de Ferro 1 filmado,Rio de Janeiro
O Palikur foi uma das primeiras tribos amazônicas a lutar contra quem,o galibi.
Em que país é a ilha de Ilha dos Lobos,Brasil
TeleMEZONAS é a primeira rede de televisão em que país,Equador
onde o chão tirano vive na floresta amazônica,perto de rios
Barcelos é a capital de qual estado sul-americano,Amazonas.
Quão longe é um macaco Atlantic Titi do Brasil,Aproximadamente 1.000 quilômetros
Quando o guitarfish brasileiro retorna ao oceano?,novembro
Quantos episódios em Las Amazonas Telenovelas,105.
Quem patrocinou a próxima temporada do modelo Brasil,Modelos ford.
Quantas aves endêmicas existem no Brasil,191.
Quais dois países assinaram um cessar-fogo na província amazônica de Azuay,Equador
o que é o mais próximo em relação ao peixe-boi amazônico,elefantes
Quando foi a primeira estrada na floresta amazônica construída,1958.
Quando a Amazônia abriu no Blackpool Zoo?,2006.
Onde está Saint Catherine College no Brasil localizado,Ilha de Florianópolis.
Onde o Brasil se classifica como consumidor de energia no mundo?,10º maior
Quais dois países reivindicaram a área da Amazonas,Peru
Qual é o nome completo do corpo de combate a incêndios militares do Brasil,Corpo de bombeiros militares.
Que oceano é o Brasil localizado em,oceano Atlântico
Quem viu o último indiano restante na selva amazônica,Loggers.
Quantas cidades estão no Brasil para a 3ª temporada,Sete
Qual é o nome do código da floresta?,Código florestal brasileiro
Que tipo de molho é usado na culinária amazônica,molho de tomate
Quanto dos manguezais brasileiros são o lar de Shorebirds,metade
Quando foi o corredor ecológico da Floresta do Atlântico Central criado,2002.
Quem inscreveu a reserva da Amazônia Central como Patrimônio Mundial,UNESCO.
Quando o cerrado foi encontrado no Brasil,1892.
Lago Pompulha é em que país sul-americano,Brasil
Qual porcentagem de empresas brasileiras conduzem pesquisa e desenvolvimento em casa,17%
Qual foi o nome do boom na região amazônica?,O boom da borracha amazônica
Em que país é a ilha de Villegagnon,Brasil
onde brasileiro bobsled piloto Eric Maleson competia em 2002,Salt Lake City
O que é uma parte central das festividades no Brasil,fogueiras
onde é encontrada a preguiça no Brasil,Floresta tropical litoral atlântica.
Valença é a maior cidade em que costa da Bahia,Costa Dendê.
quantas diferentes grupos étnicos compõem o Kichwa amazônica,dois
Qual porcentagem da floresta amazônica o Brasil,60%
Quem não conseguiu financiar a pesquisa básica necessária para o sucesso das indústrias de computadores do Brasil,o governo federal
Que tipo de manjericão é usado em rituais ayahuasca,Manjericão amazônica
Qual é o nome comum do flycatcher amazônico?,Onychorhynchus coronatus.
Em qual cidade é a praia da Mole,"Florianópolis, Brasil."
O termo Barrio Cerrado é usado em que país,Colômbia
Quantos lugares estão na sala de concertos da Sala Sala Paulo,830.
o que aconteceu com o bioma Amazônia no Brasil,desmatada
Quando foi final do arco-íris no Brasil,11 de novembro de 2012
Qual montanha é a terceira mais alta no Brasil,Pico da Bandeira.
A floresta nacional de Lorena é em que país,Brasil
Quem controlou a costa do Brasil de 1630 a 1654,o holandês
De onde se realizou o futebol americano no Brasil?,Praia de Copacabana
Quem disse que MyLossoma é o peixe mais abundante da Amazônia,Ibama.
Onde fica a ponte do rio Oyapock?,Brasil
"O Noachian, Hesperiano e Amazônia são unidades geológicas, das quais",Marte.
Qual rio inundou Uniao dos Palmares no Brasil em maio de 2010,O rio Mundau.
De onde a música Aguas da Amazônia leva seu nome de,Amazon Waters.
onde é o período amazônico encontrado no planeta,Marte.
O rio Beberibe sobe em que país,Brasil
Que tipo de manatee é uma temporada de parto,Amazônia
Qual rio inundou Uniao dos Palmares no Brasil em fevereiro de 2010,O rio Mundau.
Quem era o Demi-deus da Amazônia que salvou mulher maravilha,Hércules
O estado do Amazonas é em que país sul-americano,Brasil
Quando o Brasil começou a impor leis em florestas,a década de 1930.
A França tem fronteiras terrestres com o Brasil e quais outras nações da ilha,Suriname
Qual é a principal causa do declínio da biodiversidade no Brasil,Desmatamento
Onde as pessoas indígenas classificam na população do Brasil?,quinto maior
Quando foi o centro de treinamento olímpico no Rio de Janeiro construído,2016.
Qual rede de televisão transmite o Caso Cerrado,Telemundo
"Qual revista britânica apresentava a música ""trens para o Brasil""",Nme.
Onde o Brasil recebe a maioria de suas emissões de metano?,locais de resíduos descontrolados
Quanto da eletricidade do Brasil vem da energia nuclear,cerca de 3%
A praia do Porto da Barra é em qual cidade,"Salvador, Brasil"
quanto tempo os fogos de carvão duram no Brasil,décadas
Quando Manaus foi fundada no Amazonas,1669.
Onde a primeira terra de expedição russa no Oceano Atlântico,Rio de Janeiro
Qual é o nome do primeiro satélite lançado pela Amazonas em 2004,Amazonas 1.
Quando foi descoberto Martialis Heureka na floresta amazônica,2000.
Quando o Brasil e a Placa River chegaram a Southampton?,6 de abril
Quando foi formado o cilindro marinho brasileiro e corps corpos,1822.
Qual rio flui através da floresta do estado antimário no Brasil,O rio Antimário
em que rio o governo brasileiro se recusou a ceder às demandas britânicas,Rio Grande do Sul
Em que país se entregou ao pai em 2009,Brasil
Quantos índios amazônicos se reuniram em Altamira em 1989,mais de 600.
Onde é a temporada 4 Finais do Rainbow Six Siege 4,Rio de Janeiro
Quem descobriu a doença paracoccidioides brasiliensis,Adolfo Lutz.
Onde estão os sapos de saddleback encontrados no Brasil,Mata Atlântica
Qual é o nome da corrente que flui ao longo da costa brasileira para o,O Brasil atual
Quanta energia eólica o Brasil,Mais de 8 gw
Qual é o nome do rio que flui através da floresta amazônica,rio Amazonas
Quanto custou o governo brasileiro em 2012 no bem-estar dos animais?,US $ 2 bilhões
Qual é a principal atividade humana no delta delta parana,Exploração da floresta de salgueiro
Qual é o nome da savana no Brasil.,Cerrado
Quantas décadas após o registro seletivo fez a floresta amazônica começar a se recuperar?,Três
Quais são as florestas tropicais secas no Brasil.,Mato Grosso florestas sazonais
onde está a diada amazona encontrada no Brasil,a bacia amazônica
Em que ano os TeleMEZONAS começaram a transmitir no Equador,1974.
O rio Tocantins é a artéria fluvial central da qual a América do Sul,Brasil
Qual foi o nome da Marinha Brasileira formada por voluntários,O Corpo do Mariner Imperial
Onde a temporada 8 dos roadies MTV ocorrem,Brasil
Qual continente é considerado responsável pela formação do Sveconorwegian,Amazônia
Qual é a maior usina para receber registro de MDL,Planta hidrelétrica Jirau no Brasil
Um Carranca é um tipo de figura de figura anexada a um rio em que país,Brasil
Em que ano foi Alfredo Astiz morto por um submarino brasileiro,1949.
Onde está a League of Legends Mid Season Tournament 2017 realizada,"Rio de Janeiro, Brasil"
Santos foi o ponto de entrada para que doença no Brasil,praga bubÔnica
Qual foi o nome do Alfa Romeo Onça.,Jaguar
Qual é o grão mais comum comido no Brasil,arroz
Quando o Casco Cerrado começou na TV,2 de abril de 2001
"Qual é o nome do prato amazônico feito com pedaços de carne, homem",ManiÇOBA.
Quem controlava a maior parte da terra no Amazonas,P.
Manaus é a capital de qual estado sul-americano,Amazonas.
Que tipo de vegetação está em Roraima,floresta tropical
Onde foi a primeira conferência integrada de gerenciamento de zona costeira realizada,Rio de Janeiro
quanta energia o brasil começa da água,75 milhões de MWh por ano
Quem fez a Amazônia para o grupo de venda,56 Comunidades de Awajun e Wampis
Qual ex-governador da Amazonas tornou-se o primeiro presidente da Universidade Federal da AM,Eduardo Braga.
Qual é o nome mais comum do sapo horned surinam?,Sapo Horned Amazônica
Qual é a boca do rio da Madeira no Brasil,Ilha Tupinambaranas.
Quantas partidas de fase de grupo foram jogadas no Arena Pantanal,Quatro.
Que doença Pedro I do Brasil morreria de,tuberculose
Qual foi o petroleiro brasileiro que colidiu com a estrela do mar,Horta Barbosa
O que são povos não contactados na floresta amazônica propensa a,doenças
Qual é o clima do Brasil abaixo do trópico de Capricórnio,suave
Onde o Red Billed Cursow vive no Brasil?,Floresta Atlântica de Lowland.
Quantos séculos depois da descoberta do rio Amazonas foi a área do Brasil,Quatro.
Onde vem o látex no Tabernaemontana Sananho?,Água do rio Amazônica
Qual é a capital do departamento de Amazonas?,Leticia
Quem é o dono do canal de TV TeleMEZONAS,FIDEL EGAS GRIJALVA.
Quanto tempo fez o jogador de futebol brasileiro Marc Bartra depois do bombardeio,29 dias
A Mata Atlântica faz parte do qual país sul-americano,Brasil
A ilha de Villegagnon é a casa da qual instituição militar,Escola Naval Brasileira.
Que tipo de manatee é tricheque inunguuis,Amazônia
O que é a espécie mais ameaçada de Papai Noel Catarina,porquinho da índia
Qual estrada atravessa o rio Sucunduri no Brasil,Rodovia trans-amazônio
quanto tempo o moxo viveu na floresta amazônica,Milhares de anos
Quem é o chef do restaurante amazônico,Pedro Miguel Schiaffino.
onde está o pássaro varzea piculet encontrado,Bacia Amazônica do Brasil
Onde fica a parte superior do rio Cotingo localizado,Parque Nacional Monte Roraima
o menor frigigerbird é encontrado fora da costa de qual país,Brasil
Em qual país a Estação Sudeste da Royal Navy é estabelecida em 1838,Brasil
"Entre 2005 e 2006, quanto foi a queda no desmatamento no Brasil",41%
A cidade de Palmeira Paraná é nomeada depois de que animal,um capton
onde estava o imperador sentado durante a coroação do Imperador do Brasil,cadeira do trono
Onde é a área mais desmatada do Brasil,Amazonas
Quando Trinidad e Tobago pararam de pagar o Brasil por seus navios de patrulha offshore,2010.
O Parque Nacional Fernando de Noronha é em que país sul-americano,Brasil
Qual empresa brasileira fez a saúde animal da Merck em abril de 2017,Vallée S.A.
Onde está Panaque Schaeferi encontrada na Amazônia,"Santarém, Brasil"
Qual é outro nome para a bacia amazônica?,Floresta amazônica
onde é o maior concerto livre no Rio de Janeiro,Praia de Copacabana
Quão profunda é as ilhas de Alcatrazes no oceano,50 M.
Qual é a porcentagem ideal de produção de grãos no Brasil em 2003,120%
qual país sul-americano tem tentado obter um assento permanente na segurança da ONU,Brasil
Quão profundo é o Oceano Bahia de Ponce,150 metros
quantas cepas de chikungunya existem no Brasil,dois
Qual parque estadual protege o lado brasileiro do rio Uruguai,Parque Estadual de Turvo
O que é uma área no Peru que deve ser subdividida,a floresta amazônica
A ilha de Villegagnon é perto de que cidade,"Rio de Janeiro, Brasil"
A área de Proteção Ambiental da Serra do Mar está localizada em que país,Brasil
onde o cerrado está localizado no mundo,Brasil
Quanto custa o custo do projeto de restauração do Atlantic Forest,US $ 22 milhões
onde está o otoko wa tsurai yo set,Shibamata.
Que tipo de deserto seria o Brasil sem o rio voador,deserto árido.
onde foi encontrado o macaco esquilo encontrado no Rio de Janeiro,Floresta de Tijuca.
Qual é a precipitação anual para paracoccidioides brasiliensis,entre 500 e 800 mm
Quem preenche os assentos constitucionais do Quinto no Brasil,Procuradores públicos
Onde estão as religiões indianas ainda praticadas no Brasil,a floresta amazônica
Qual icterid é o maior em tamanho,Oopendola amazônio
Qual porcentagem do aquífero guarani é coberta por basaltos,Mais de 90%
Qual porcentagem de produtos brasileiros são produzidos por silvicultura comercial,65%
Em que ano o mountaineer brasileiro Vitor Negrete morreu enquanto tentava,2005.
Onde os macacos de lã marrom vivem no mundo?,Brasil
onde amyr klink row no Oceano Atlântico,"Salvador, Brasil"
O que é construído ao longo do rio Paraná para fornecer transporte,Barragens hidrelétricas
Quem foi o missionário espanhol que alegou ter encontrado amazônicas brancas,GASPAR DE CARVAJAL.
Quando você é a única temporada do Brasil 1,1º de fevereiro de 2015
Qual é o nome da região brasileira em torno de Palmas Tocantins,o cerrado
Onde os jogos de basquete em Ambato acontecem,Coliseo Cerrado de Deportes
Geofago Brasiliensis é uma espécie de qual peixe,Cichlid Pearl.
qual estado americano tem a maior população de caatinga,Texas.
Qual é o nome inglês da Bahia Cook Bay?,Cook Bay
Qual foi o codename dado à Batalha da Ilha Sukho em WW,Operação Brasil.
Quantos competidores avançados na segunda temporada do IGLOOS BRASIL,Cento e oito
Onde foi realizada a costa sudeste da América?,Brasil
Onde os sapos de Saddleback vivem na América do Sul,Mata Atlântica
Qual doença matou a maioria das pessoas no Brasil em 2009,gripe suína
que tipo de garota é liz na cidade,Amazônia
De onde veio os tamoios na ilha de Villegagnon?,Brasil
Como o desodoro brasileiro de defesa costeira é batizado,Botão elétrico
Quem descobriu que 5% da Floresta Nacional de Roraima foi ilegalmente minada,Ibama.
Quão longe são as ilhas de Alcatrazes de São Sebastian,35 km
De onde vem a árvore de fogo brasileira,América tropical
Qual região francesa no exterior é o Brasil localizado em,Guiana Francesa
Qual é outro nome para o grupo amazônico de wai wai pessoas,Arara
Quem é o diretor da Philharmonic da Amazonas,Marcelo de Jesus.
Quem foi o Meio Ambiente do Brasil em 2008,Marina Silva.
A lagoa Rodrigo de Freitas separa o Rio de Janeiro de,o Oceano Atlântico
Qual é o nome da organização brasileira que procura proteger a biodiversidade,Ibama.
Quem era o Demi-deus da Amazônia que derrotou a mulher maravilha,Hércules
Que porcentagem da venda o biomet pagou médicos no Brasil e na China,15-20%
Qual país é o segundo maior produtor de café do mundo após a Costa do Marfim,Brasil
Fernando de Noronha é administrado diretamente pelo governo de qual estado,Pernambuco.
Que floresta é para o leste da cordilheira do Espinhaço,Mata Atlântica
Em que país é o rio Amazonas,Brasil
Quando você é a única temporada do Brasil 3,29 de janeiro de 2017
Almoerus decemarticulatus é um exemplo de que tipo de formiga,Amazônia
Quem foi o explorador brasileiro que descobriu Barra Seca,Francisco Gonçalves de Carvalho
Quando La Voz Equador Air em TeleMEZONAS,2015.
Quando a Marinha Brasileira encontrou a bandeira de aflição na Wake Island?,Maio de 1908.
O que o Ministério da Educação aboliu da Universidade da Amazonas,Engenharia operacional
De onde a mulher que morreu no acidente de trem de Hoboken vem de,Brasil
Qual é o complexo hidrelétrico na Bahia chamada,Paulo Afonso Complexo.
Qual porcentagem da floresta amazônica é usada agora para ranching,90%
Que estado é Cumbuco localizado na costa nordeste do Brasil,Ceará.
Qual é o nome da vasta savana tropical do Brasil,Cerrado
"Qual foi o nome da colônia leproso na floresta amazônica, onde Che",San Pablo
Onde estão as espécies de extinção encontradas no Brasil,a Mata Atlântica.
Qual é o nome da espécie brasileira de opiliones,Caecobunus território.
O Tembe é um povo indígena do qual país sul-americano,Brasil
Quando o Brasil mudou suas leis sobre crueldade animal,1998.
Quando a população amazônica começou a declinar rapidamente?,1900.
Chaunoides Antiquus é uma espécie de gritador nativa a qual país,Brasil
Raposa Serra do Sol é um território indígena em que país sul-americano,Brasil
Qual porcentagem dos peixes amazônicos são Characiformes,43%
Sugarloaf Mountain no Rio de Janeiro sai em que oceano,oceano Atlântico
Quanto venderam biomet para o Brasil e a China,15-20%
Quando começa a temporada de futebol de 2019 no Brasil?,28 de abril de 2019
Qual porca é encontrada na floresta úmida de Uatuma-Trombetas,castanha do Brasil
Quem ganhou 3ª temporada do próximo modelo do Brasil,Camila Trindade
Quantos lugares existem no Brasil Senado,81.
Quantas espécies de anfíbios são encontradas no Cerrado,150.
Quais são os Waorani chamados no Amazônia?,Waos.
Onde é a maior floresta tropical do norte da Amazônia,Brasil
Quando você é a primeira estreia do Brasil temporada 1,1º de fevereiro de 2015
Que tipo de pessoas são as apiacas,povos indígenas do Brasil
O que é encontrado nas bacias offshore do Brasil,óleo
Quanta energia eólica foi produzida no Brasil em 2003,22 MW.
Quando o Power Couple Side 2 começam no Brasil,18 de abril de 2017
Que tipo de flora é encontrada em Choquequirao,Amazônia
Quantos locais de treinamento haverá no Rio de Janeiro 2016,29.
Em qual cidade era a 'Xuxa Park Fire' de 2001,Rio de Janeiro
onde vivem as manateas amazônicas no mundo?,Colômbia
Qual é o status de Fernando de Noronha Marine Park,Área Protegida da IUCN Categoria II
Que porcentagem de peruanos são amazônicas,"0,3%"
O rio Curuçá é em que país,Brasil
O que precisa ser feito se o desmatamento deve ser interrompido no Brasil,uma reforma do sistema mundial de mercado
Quantos Barasana vivem na selva amazônica,40.
que tipo de log é usado na floresta amazônica,Log seletivo
Onde está o zoológico de San Antonio localizado na América do Sul,Amazônia
Qual é o nome da ponte que conecta o Brasil a Guiana,Takutu River Bridge
onde estão as montanhas spinhaço localizadas em um mapa,Brasil
De onde a Wai Wai fez suas flautas e bateria?,floresta amazônica
Qual país deu a Paraguai uma ponte sobre o rio paraguai,Brasil
Onde está a praia da Mole no Brasil,Florianópolis.
Quantas pessoas vivem na área de Caatinga no Brasil,26 milhões
Qual é o gás atmosférico mais abundante na floresta amazônica,dióxido de carbono
Que problema ambiental atraiu mais atenção no Brasil na década de 1980,desmatamento
Onde a trilha Nhamini-WI começou?,a selva amazônica
A Amazonas State University é em qual cidade,Manaus.
Qual é a maior fonte de energia não renovável no Brasil?,Mineração de carvão
onde está o macaco de safaste prateado encontrado na floresta amazônica,Brasil
Quantas espécies de sinalgrasses brasileiras existem,Mais de 100
onde é o guia da selva tatunca narara,"Barcelos, Amazonas"
Pedra da GA Vea é uma montanha localizada em que país,Brasil
Quem é o atual apresentador de TeleMEZONAS,Jorge Ortiz.
Em que país existe um aumento de 11% na incidência da doença de Crohn,Brasil
O parque amazônico é em qual país europeu,França
Quanto da vida selvagem animal contrabandeada a polícia brasileira intercepta,.5%
De onde vive os chachapoyas no Peru?,Amazonas Region.
Que tipo de questões estão aumentando na embalagem brasileira,de Meio Ambiente
Quando o Brasil e a Ucrânia se encontraram em Nova York?,Setembro de 2003.
Quando os EUA enviaram uma gênero até o rio Paraná?,1858.
Quantas pessoas Yanomami vivem na floresta amazônica,Aproximadamente 35.000.
que tipo de governo a nova amazônica tem,socialismo do estado
Quais são os dois tipos de Tocantins encontrados no estado do Pará?,Cerrado
Qual é a principal causa da seca no Brasil,desmatamento
Em qual cidade você encontraria a montanha de Corcovado?,"Rio de Janeiro, Brasil"
em que país sul-americano é o rio Matupiri,Brasil
Quanto da floresta amazônica é ameaçada por um clima aquecedor até 2100,85%
Qual foi a principal exportação da bacia amazônica?,borracha
quem é o aquífero guarani nomeado depois,o povo guaraniano
Quando perguntou mulher que a cômica da Amazônia saiu,1997.
O estado do Acre é limitado pelo qual dois outros estados,Amazonas.
Qual porcentagem da terra do Brasil é Caatinga,10%
A rodovia trans-amazônica é em que país sul-americano,Brasil
Qual foi o nome do primeiro navio peruano a chegar em águas equatorianas,Bap Amazonas.
Em que país são indígenas chamados pardos ou pessoas castanhas,Brasil
Quantos limites existem na floresta atlântica?,Quatro.
Quantas espécies ameaçadas existem no Brasil?,769.
O Parque Nacional da Serra da Mocidade está localizado em que estado do Brasil,Amazonas.
Em que país é a Floresta Nacional de Carajás,Brasil
Quantas espécies de moluscos não marinhos estão lá no Brasil,1107.
quanta energia faz foz do igu fornece no Brasil,15%
Qual floresta tropical é encontrada no Peru,floresta amazônica
Onde fica o rio Aripuanã no Brasil,Mato Grosso.
onde você encontra o flycatcher real amazônio,Floresta e Woodland.
O Parque Nacional do Mapinguari cobre uma grande área do que,floresta amazônica
Quilombos são indígenas a que país,Brasil
Qual é o nome do grande vulcão na baía de Angra,Monte Brasil
Qual é o significado do trem no Brasil?,Comboio
O Kaxinawa é um povo indígena de qual país,Brasil
Quem dirigiu o programa de TV Pantanal,Jayme Monjardim.
Quem é a organização responsável pela proteção do meio ambiente,Ministério do Ministério do Meio Ambiente
O que danificou o Delta do Rio de Paraná,Poluição doméstica e industrial
De onde a Terra Carlo del Prete no oceano,Fernando de Noronha
O campo de óleo de peregrino fora da costa do Brasil foi anteriormente conhecido como,Chinook.
Qual é o nome não oficial dado a uma cadreira de elite all-feminino de guarda-costas,A guarda amazônica
Quem faz a janela de pesquisa observacional da janela,a agência espacial brasileira
A Floresta Nacional de Roraima faz parte do qual o corredor,Corredor ecológico da Amazônia do Norte
Brasil é uma ilha fantasma em que corpo de água,oceano Atlântico
onde é Belém localizado no rio Amazonas,Brasil
que metal está sendo importado para a Amazônia Amazônia,mercúrio
O que é uma parte central do Festival do Paraiso no Brasil,fogueiras
onde é o submarino brasileiro de classe de escorpénio sendo construído,Sepetiba.
quando o Blue Mountain State começou no MTV Brasil,3 de agosto de 2010
Quem liderou a frota holandesa que capturou o Brasil,Hendrick Corneliszoon Loncq.
O rio Quaraí separa o Uruguai de que outro país,Brasil
Quando o Brasil começou a usar combatentes militares,1915.
Onde estão as praias de aninhamento da tartaruga de Arrau?,Brasil
Onde moram o Pirahã no Brasil?,Floresta amazônica
Onde está o Fort Orange localizado no Brasil,Itaamaracá Island.
Quando a floresta amazônica se tornou completamente destruída?,1970.
Las Bandidas é um remake of Las Amazonas em que país,Venezuela
Qual é o nome da tribo amazônica na série de desenhos animados Inami,os belacaibos.
As cidades costeiras do Brasil e os hinterlands foram orientados principalmente para qual país,Portugal
em que país foi o primeiro episódio de fuga da Ilha Scorpion,Brasil
Em que o bairro do Rio de Janeiro o cartunista Jaguar viveu,Ipanema
onde está o aquífero guarani localizada no mundo,Argentina
Qual é a cidade mais populosa do Amazonas?,Manaus.
O TICUNA é um povo indígena em que país,Brasil
que tipo de terra é Brasil sem o rio voando,deserto
Quanto o Brasil pagou a Bolívia para a terra amazônica?,dois milhões de libras esterlinas
Qual é o nome da corrente que flui para o sul ao longo da costa sul do Brasil,O Brasil atual
O rio Cotingo no Brasil é um afluente de qual rio,Rio Surumu
Quando a placa brasileira e do rio chegou a Southampton?,6 de abril
Qual é o nome do movimento do vapor de água através da floresta amazônica,Rio voador
Quantos trens expressos estarão no Brasil até 2024,28.
Qual é o nome do pesquisador brasileiro que está lutando contra o vírus Zika,Adriano Schneider.
Quando a doença de Lyme se tornou uma doença no Brasil?,1992.
Quando foi o complexo central da conservação da Amazônia declarou um Patrimônio Mundial,2000.
Quem ganhou 3ª temporada de Dolos Brasil,Rafael Barreto.
Onde as abelhas de purpurata de eufriesea vêm de,Brasil
Quantas ilhas de longitude existem no Brasil?,28.
Os ERGs são encontrados na costa nordeste de qual país,Brasil
Quem gerencia a Floresta Nacional de Lorena no Brasil,ICMBIO.
onde é através do arco da floresta tropical filmado,Brasil
Quem foi a rainha amazônica que lutou contra os trojans,Penthesilea.
Quantos estratos de vegetação há na floresta húmida caatinga,Quatro.
